stream_ID,year,month,day,Value
flow_236212,1977,5,29,0.284
flow_236212,1977,5,30,0.339
flow_236212,1977,5,31,0.77
flow_236212,1977,6,1,0.613
flow_236212,1977,6,2,0.553
flow_236212,1977,6,3,0.56
flow_236212,1977,6,4,0.508
flow_236212,1977,6,5,0.468
flow_236212,1977,6,6,0.392
flow_236212,1977,6,7,0.375
flow_236212,1977,6,8,0.404
flow_236212,1977,6,9,0.427
flow_236212,1977,6,10,0.445
flow_236212,1977,6,11,0.443
flow_236212,1977,6,12,0.469
flow_236212,1977,6,13,0.494
flow_236212,1977,6,14,0.498
flow_236212,1977,6,15,0.466
flow_236212,1977,6,16,0.477
flow_236212,1977,6,17,0.575
flow_236212,1977,6,18,1.346
flow_236212,1977,6,19,5.541
flow_236212,1977,6,20,3.119
flow_236212,1977,6,21,1.756
flow_236212,1977,6,22,1.507
flow_236212,1977,6,23,1.07
flow_236212,1977,6,24,0.772
flow_236212,1977,6,25,2.175
flow_236212,1977,6,26,2.952
flow_236212,1977,6,27,1.687
flow_236212,1977,6,28,3.783
flow_236212,1977,6,29,18.813
flow_236212,1977,6,30,21.853
flow_236212,1977,7,1,11.973
flow_236212,1977,7,2,4.515
flow_236212,1977,7,3,2.349
flow_236212,1977,7,4,1.509
flow_236212,1977,7,5,1.107
flow_236212,1977,7,6,1.004
flow_236212,1977,7,7,0.821
flow_236212,1977,7,8,0.666
flow_236212,1977,7,9,0.576
flow_236212,1977,7,10,0.528
flow_236212,1977,7,11,0.501
flow_236212,1977,7,12,0.499
flow_236212,1977,7,13,0.516
flow_236212,1977,7,14,0.898
flow_236212,1977,7,15,2.844
flow_236212,1977,7,16,2.671
flow_236212,1977,7,17,2.963
flow_236212,1977,7,18,2.532
flow_236212,1977,7,19,1.964
flow_236212,1977,7,20,1.305
flow_236212,1977,7,21,0.897
flow_236212,1977,7,22,0.718
flow_236212,1977,7,23,0.686
flow_236212,1977,7,24,0.76
flow_236212,1977,7,25,4.256
flow_236212,1977,7,26,16.73
flow_236212,1977,7,27,24.764
flow_236212,1977,7,28,17.071
flow_236212,1977,7,29,11.386
flow_236212,1977,7,30,7.264
flow_236212,1977,7,31,4.242
flow_236212,1977,8,1,4.302
flow_236212,1977,8,2,8.086
flow_236212,1977,8,3,5.82
flow_236212,1977,8,4,3.339
flow_236212,1977,8,5,2.27
flow_236212,1977,8,6,1.684
flow_236212,1977,8,7,1.492
flow_236212,1977,8,8,1.643
flow_236212,1977,8,9,1.453
flow_236212,1977,8,10,1.108
flow_236212,1977,8,11,0.88
flow_236212,1977,8,12,0.723
flow_236212,1977,8,13,0.852
flow_236212,1977,8,14,1.093
flow_236212,1977,8,15,0.992
flow_236212,1977,8,16,0.889
flow_236212,1977,8,17,0.947
flow_236212,1977,8,18,0.851
flow_236212,1977,8,19,0.846
flow_236212,1977,8,20,0.857
flow_236212,1977,8,21,0.917
flow_236212,1977,8,22,4.426
flow_236212,1977,8,23,5.511
flow_236212,1977,8,24,2.454
flow_236212,1977,8,25,1.46
flow_236212,1977,8,26,0.93
flow_236212,1977,8,27,0.695
flow_236212,1977,8,28,0.585
flow_236212,1977,8,29,0.541
flow_236212,1977,8,30,0.51
flow_236212,1977,8,31,0.491
flow_236212,1977,9,1,0.469
flow_236212,1977,9,2,0.455
flow_236212,1977,9,3,0.448
flow_236212,1977,9,4,0.452
flow_236212,1977,9,5,0.468
flow_236212,1977,9,6,0.463
flow_236212,1977,9,7,0.455
flow_236212,1977,9,8,0.442
flow_236212,1977,9,9,0.443
flow_236212,1977,9,10,0.542
flow_236212,1977,9,11,0.832
flow_236212,1977,9,12,0.863
flow_236212,1977,9,13,0.798
flow_236212,1977,9,14,0.914
flow_236212,1977,9,15,0.935
flow_236212,1977,9,16,0.81
flow_236212,1977,9,17,0.729
flow_236212,1977,9,18,0.615
flow_236212,1977,9,19,0.515
flow_236212,1977,9,20,0.464
flow_236212,1977,9,21,0.445
flow_236212,1977,9,22,0.422
flow_236212,1977,9,23,0.409
flow_236212,1977,9,24,0.403
flow_236212,1977,9,25,0.392
